Talking to @nateshelman on @KBOI670 about news of the day. Tune in now. https://t.co/JxZfpEKFhR
"RT @MikeCrapo: Today is #242NavyBday! Thank you for your service to our nation, @USNavy! https://t.co/YRDEfvNgmY"
RT @USDA: Today is National Farmer's Day! #ThankAFarmer https://t.co/iIzJfzusbj
"RT @IdahoStatesman: .@SenatorRisch weighed in
https://t.co/WWzr6ZPoGl"
RT @MikeCrapo: Happy #NationalFarmersDay! https://t.co/CEqsQzfPcS
RT @MikeCrapo: #NationalFarmersDay in Idaho numbers https://t.co/NQOj4Peqnv
"The @forestservice has been transformed from a “management agency to a firefighting agency,” Risch says. “It’s not… https://t.co/9RNnfyu26k"
RT @SenBennetCO: Intro'd bill to help #wildfire recovery &amp; prevention efforts with @MikeCrapo @SenatorTester @SenatorRisch @RonWyden: https…
"RT @IdahoPubRadio: Western senators, inc. @MikeCrapo and @SenatorRisch, file legislation on wildfire mitigation and recovery: https://t.co/…"
"ICYMI: Read my column in @ThePostRegister: ""Keeping our forests healthy."" https://t.co/6e2I1nqdgk"
"ICYMI: My column in @CdAPressNews: ""How to Combat Our Kind of Hurricanes."" https://t.co/CdRy4ZBVaK"
Glad to intro this bill w/ Western colleagues to help local govt's deal w/ aftermath of large wildfires. https://t.co/ZMIJv7WdAY
I welcome @OMBPress's &amp; this Administration’s recognition that we need to better prevent/manage wildfire disasters. https://t.co/Ps45JHWs3t
RT @MikeCrapo: Recognition by the Administration as to the need for emergency fire funding is important. https://t.co/DnRgnWGqcv
I appreciate @Call_Me_Dutch &amp; @JudgeCarter’s leadership in introducing a companion version of @SenAngusKing &amp; my Se… https://t.co/siKTmVBMrn
RT @AmForestFndn: Thank you @SenatorRisch for having Idaho Tree Farmers share their stories. We appreciate your support! https://t.co/Z9q0D…
"RT @nafoalliance: ""It's amazing what they can build now using #innovations in wood."" @SenatorRisch @foresters talking about #timber high-ri…"
RT @foresters: Thanks @SenatorRisch for joining us. Your passion for forestry is infectious. #ForestProud #workingforestswork #TreesGrowJob…
Thanks for the invitation! https://t.co/f7IGwYeKJV
"RT @nafoalliance: Big thanks to @SenatorRisch for being a champion in #Congress for #workingforests, @foresters &amp; private forest owners, bi…"
#CravinsCandyEmporium owners started their #smallbiz with a dream &amp; a @SBAgov 7a loan. Enjoyed talking abt small bu… https://t.co/1LgUZYI9vl
"RT @IdahoPubRadio: .@SenatorRisch praises Senate passage of Main Street Cybersecurity Act, says urgent steps needed on cyber-attacks: https…"
