Understanding #behavioralhealth is part of understanding overall health. https://t.co/K7XhDNQUW1
My statement on President Trump’s Iran announcement: https://t.co/aioh1Pz3KL
Thanks @TheBrentMcGinty for an insightful discussion on how we can continue to improve these vital services https://t.co/htMRaAYXhx
Missouri is leading the country in how we treat mental &amp; #behavioralhealth https://t.co/UTjH14zCm5 via @kolr10kozl
📺 Watch to learn more about my recent visit to the Ozark Center in Joplin https://t.co/Z0HuB5AMdZ
"#OTD 1775, @USNavy was founded by the Second Continental Congress. Happy #242NavyBDay https://t.co/dxIH0CfxKR"
RT @kzagame_KQ2: Senator @RoyBlunt gets warm welcome at @StJoFamGuidance this AM as he highlights continued efforts for Excellence in Menta…
RT @cjdavisBBH: Thank you @RoyBlunt for your advocacy for integration and improving mental health access #GameChanger @kytv #CCBHC https://…
"In St. Joe @ Family Guidance Center, thanks for a great dialogue &amp; update on the Excellence in Mental Health Act pi… https://t.co/PHTngDkWdp"
Proud to say Missouri is leading the country in improving/expanding access to mental &amp; #behavioralhealth treatment https://t.co/B4eyydvMwD
RT @thebrentmcginty: Thanks for your support for behavioral health services @RoyBlunt !! https://t.co/rVdVFjTJGV
It’s time we treat mental health like all other health in this country. https://t.co/V46Lcls2d5
We’re moving forward with how we treat mental &amp; #behavioralhealth https://t.co/58GE1Z2DPz via @kytv
Visited @SwopeHealth in Kansas City today to examine ways to strengthen community mental &amp; #behavioralhealth servic… https://t.co/xReUVjm1ZI
Attended @SHSofMO’s meeting last week. Proud to be a part a preserving our history for future generations. 📷:… https://t.co/p4NhAajE9j
RT @DSheddTV: .@RoyBlunt is in #SGF advocating for mental and behavioral health reform at Burrell Behavioral Health Center https://t.co/9Nv…
Spoke @ Ozark Center in Joplin re Excellence in Mental Health Act. Learn about recent efforts to expand services… https://t.co/gnH5TNCjdr
RT @Kcumb: A critically important time for behavioral health treatment: @RoyBlunt discusses bipartisan federal Excellence in Mental Health…
Thanks to the med pros @ Family Care Health Center in #STL for your insights on expanding access to… https://t.co/lVvFr9GKRT
Stopped by Northeast Missouri Health Council in Kirksville to discuss how we can work together to improve mental he… https://t.co/z30caFaYaJ
Congratulations Dr. Kleinsmith https://t.co/NoQn3tLd5U
#TaxReform means hardworking families get to take home more of the money they've earned https://t.co/BUrlL0aZji
Glad I could attend Jeff Jensen’s swearing in. I know he’ll do a terrific job as US Attorney for Eastern District o… https://t.co/SxbTWSqDYx
"Good news - @POTUS signed my bill, paving the way for construction of Riverside Bridge https://t.co/qWj1z1ns6T"
"On #WorldMentalHealthDay, check out the steps we’re taking to ensure mental health is treated like all other health https://t.co/gaVWHqUKy8"
I’ll continue working w/Trump admin on all-of-the-above energy policy that supports #MO ag industry &amp; manufacturers https://t.co/4PI104tpBm
I’ve fought excessive energy regulations for years. Glad to see Trump admin will put a stop to these harmful rules https://t.co/4PI104L0sU
.@EPA announcement is a huge relief for Missourians who faced double-digit utility bill hikes under so-called CPP https://t.co/4PI104tpBm
"RT @MO_Farm_Bureau: Internet service is as easy as turning on a light switch for some, but for many Missourians that isn’t the case. https:…"
We need a tax code that encourages higher take-home pay &amp; better jobs. #TaxReform https://t.co/UX81X4KaHQ
"Since #SafeAtHome began in 2007, 4,000+ Missourians have been protected through the program. https://t.co/54MC0PGu2k"
I commend the Trump administration for taking action to ensure Americans’ First Amendment freedoms are protected https://t.co/JAICqsgskz
"Missouri is home to more than 260,000 manufacturers. I'm proud to celebrate #MFG17 &amp; our state's manufacturing indu… https://t.co/p9sgrqr9p9"
Tune in as I join Tom &amp; @carriesmanyhats on the @tombradleyshow at 7:30 am CT. Listen live here: https://t.co/jQzCYdcHqD
Proud to support @LindseyGrahamSC’s bill to protect #paincapable unborn children https://t.co/wMRbqV95Ze #TheyFeelPain
It’s unacceptable that 50% of Americans are living paycheck to paycheck. #TaxReform https://t.co/RMiq6Dpr9B
RT @StLouisBlues: Starting the season with a W 🎵 #stlblues #AllTogetherNowSTL https://t.co/9fmaRaAgut
Wonderful to meet w/ Elijah &amp; his dad re: #ABLEAct. Elijah is an impressive young man &amp; an inspiration to us all… https://t.co/vwFvHEqypr
"After a decade of slow wage growth, Americans deserve #taxreform that allows workers to keep more of their income https://t.co/R2sQajlE7j"
RT @AACR: Thank you @RoyBlunt for leading the Dear Colleague letter supporting Congressionally Directed Medical Research Programs. #Researc…
Look forward to joining @McGrawMilhaven &amp; @kells_jackson on The McGraw Show at 7:20 am CT. Listen live here: https://t.co/xoV76OGUZF
My bill w/ @SenStabenow will help get us closer to our goal of treating mental health like all other health. https://t.co/cT1QVoG4Sq
RT @nationalcouncil: Thanks @SenStabenow @RoyBlunt @DorisMatsui @RepLanceNJ7 for working to expand #mentalhealth &amp; #addictions services htt…
9 out of 10 taxpayers use tax preparer or computer software to do their taxes. We need a simpler tax code https://t.co/pnYaNz1Rls #TaxReform
Thank you for the honor https://t.co/CIjQymeLg6
"#SafeAtHome bill adds a layer of protection for victims of domestic violence, rape, stalking &amp; human trafficking https://t.co/VgUTG1gfDz"
"Glad POTUS chose R.D. James, an accomplished engineer &amp; #MO farmer, to serve as Asst. Sec. of the Army, Civil Works https://t.co/5mu1ljwCN9"
Glad that @DeltaRegional will invest key resources to improve infrastructure &amp; expand access to health care in #SEMO
Jeff Jensen’s commitment to building safer communities is exceptional. I wish him well in his new role as US Attorney for Eastern Dist of MO
"Proud that Stephen Censky, a strong voice for #MO farmers, received unanimous support to serve as Dep. Sec. of @USDA https://t.co/9vCllcnzHr"
"Did you know our tax code is more than 70,000 pages long? It’s time to simplify the tax code. https://t.co/pnYaNz1Rls #TaxReform"
Thank you Matt Clark for 10 years of great baseball &amp; great memories for people w/ special needs https://t.co/wwY27Os8e2
The CHIME Act will ensure that community health centers are able to provide vital health services to those in need https://t.co/vn3N9zj7kB
"Congratulations, @CarolStark30. A great pick for head of #MO Press Association"
Mr. James's dedication to public service &amp; commitment to safer communities will make him an excellent U.S. Marshal https://t.co/FzNPmy9Bac
"RT @Chiefs: We remain undefeated after a 29-20 Monday night thriller. #WASvsKC

➡️ https://t.co/4hhNFzqpbU https://t.co/juHou57zTZ"
