.@TheAcademy did the right thing by ousting Weinstein. https://t.co/1ZouBJ3oJe
A quietly generous foundation that does a lot: Margaret A. Cargill Philanthropies leads in disaster work https://t.co/bMzOqiTX4c
🇸🇴🇸🇴Thinking of victims in Somalia &amp;friends in MN Somalian community today: Truck bombs in Somalia kill at least 189 https://t.co/0byoCrm4Ii
"Always great to take on (and beat) the Packers. Looking forward to the game, @SenatorBaldwin &amp; @SenRonJohnson. Let's go, @vikings! #SKOL"
There's still time to take a walk in the woods &amp; submit a photo to my “Best Minnesota Fall Photo” contest by 10/23: https://t.co/y0NPHnYe60
This doctor from Rochester MN should not be deported. Hopefully they will look at her file &amp; see why....… https://t.co/haASzxtQTE
"Joined @MNSteveSimon, @RamseySheriff, Att'y John Choi &amp; advocates to discuss my bill w @RoyBlunt to help DV survivo… https://t.co/wgV2uxeh9T"
Thanks to @WomenVenture for 40 yrs of working with women to start businesses.  Enjoyed seeing you all yesterday. Here's to 40 years more!
Took this from the stage at the Governor's Pheasant Opener in Marshall! Thanks Marshall &amp; Pheasants Forever!… https://t.co/pUHWtbZcq4
"So glad I could join @UofStThomasMN faculty, staff, &amp; students for dedication of Dougherty Family College. Great ad… https://t.co/XeXAVY3NBw"
RT @MarkWarner: This is why we need more transparency in online political ads. Introducing legislation with @AmyKlobuchar on this soon. Sta…
PR cannot lose assistance less than a month after being devastated by Maria. I'll keep fighting for these Americans. https://t.co/BQclYVv3vq
"RT @mspairport: Senator @amyklobuchar said we are ""a jewel"" to the state. #humblebrag https://t.co/8FZun3im6U"
My dad was a reporter. These attacks on the press and First Amendment have to stop. https://t.co/oWCLRpb5tr
Some say football’s a man's world… but @Michele_Tafoya thrives in it! Good story on MN reporter’s great work: https://t.co/D1RCAXv14p
"Google, Facebook &amp; Twitter paid political ads are seen by millions of people. It's time the laws match that reality. https://t.co/78MbUpdbMV"
POTUS A.M. Mean tweets completely contrary to Pence &amp; GOP pledges! Trump threatens to abandon Puerto Rico recovery https://t.co/827sUA6ly6
Congrats to incredible MN mom Kate Swenson &amp; her son Cooper who won @jimmyfallon’s “Everything is Mama” contest: https://t.co/fkH5yegg2Z
I urged DHS to ensure our election systems don’t use Kaspersky software. Here’s more proof that must happen: https://t.co/EjuEMwGcIc
These pictures show the ruin like words can't: Seen From Above: Entire Neighborhoods Reduced to Ash  https://t.co/0nAmaSqmVL
Today's #internationaldayofthegirl. Let’s strive to lift up the girls (and women!) in our communities and lives today and every day!
My sodsaver bill with @SenJohnThune would extend program &amp; save taxpayers $52 million over 10 yrs. https://t.co/mPXpdz8T4h
cool story...Somali girls make history on St. Cloud swim team https://t.co/fsGGLIF0SR
Kicking off “Best Minnesota Fall Photo” contest. Submit by 10/23 &amp; your picture could be my new Facebook cover photo https://t.co/pCLCVLa0L7
We can't step back on biofuels. @ChuckGrassley &amp; I are leading the push for a strong 2018 Renewable Fuel Standard. https://t.co/KMiOxIEaQO
Way to go @Vikings! I was having bad memories of end-of-game Vikings field goals (like the playoff game) but you proved me wrong! Good game.
OK @Vikings this is it....let's see some purple pride.  Score on this drive and break the tie.  I really don't like losing to the Bears.
Did the administration truly roll back the EPA climate change/greenhouse gas rules the same day the wildfires are raging out west? #science
"Russian 'ecosystem of junk news' targeted the military, Oxford study found https://t.co/Jw4aWumLxO"
Looking forward to a @vikings win tonight on @espn! #MNF #SKOL
There are now 32 women heading up Fortune 500 companies..in 1995 there were none. Honored to be the keynote speaker… https://t.co/JafyvFGjqy
WATCH: My bill w @MarkWarner to defend US elections from foreign meddling &amp; find out who buys online political ads https://t.co/1AZ2JxG2ol
"Another really bad idea! Last time I checked, science mattered! E.P.A. Announces Major Carbon Emissions Rule Repeal https://t.co/fSOBaazDpd"
"Admin’s immigration plan is a step in the wrong direction. We need to work on bipartisan solutions, including passi… https://t.co/JdxEnPpR1p"
1 more reason for my bill w/ @MarkWarner to make pol on-line ad purchases public Google uncovers Russian-bought ads  https://t.co/xvQdtDYl1q
"After urging Ethiopia to reconsider adoption ban, was great to meet w the Nortons &amp; celebrate arrival of two sons. https://t.co/qZjtxOKm2z"
"Corker (who I like a lot) ""adult day care"" line should now be the go-to response for all who get drenched by POTUS early A.M. twitter storms"
My mom taught second grade until she was 70 &amp; her favorite unit to teach was on monarch butterflies. She would have… https://t.co/Mb8tUrM3CM
It's the perfect time for apple picking – and MN is the perfect place to do it! https://t.co/pl2p6AKRyf
Beautiful music tonight at the Minnesota Chinese-American Moon festival! https://t.co/DRMjRfZ6Uo
Read my piece published in the @washingtonpost abt Facebook political ads &amp; how to prevent Russians from buying them https://t.co/TgrSlbuvn5
Thnx to @ASlavitt for keeping up the daily #CHIP drum beat. There are no excuses letting it lapse. It's always had… https://t.co/0uvgLmwb3B
It's about more than equal pay for equal work -- women need equal opportunities in STEM to do work in the 1st place. https://t.co/0tLLDfRX7m
Sack cartoon: Another Minnesota Lynx title https://t.co/qrEOczdQB7
RT if Facebook should share the ads Russians bought during 2016 election…and listen to my @NPR interview on this! https://t.co/REAggDasMl
Thanks Lisa!  Good to speak this a.m. about our bill we passed last year to help those with eating disorders get tr… https://t.co/a1HYezM36p
!!!!!  Congrats to the Lynx!  Champions again! Lynx beat L.A. in Game 5 for WNBA title https://t.co/dshyz4S9Qz
Questioned fmr CEO of Equifax today on their major data breach. Must get to the bottom of this and stop it from happening again.
"My heart is with the families of Minnesotan Steve Berger, who was killed in Las Vegas, &amp; MN native Philip Aurich, who was seriously wounded."
Payroll isn't everything! The @Twins just tied it up with the Yankees in the third inning.  Good game!
Good luck to the @Twins when they take on Yankees tonight! Our Twins know how to win when no one thinks they can (See '87&amp;'91 WorldSeries)!
"At Judiciary #DACA hearing. Fact: More than 97% of 800,000 dreamers (who were at avg 6 1/2yrs when arrived in U.S) are working or in school"
He ‘saved my life and lost his’: These are the Las Vegas shooting victims https://t.co/96EJIWBK9Y via @pioneerpress
My thoughts today on the horrible tragedy in Las Vegas: https://t.co/1mh84euvSQ
"The victims of this terrible shooting, their families, &amp; the people of Las Vegas are in our prayers &amp; hearts today."
Made this case when we passed my bill for the bridge..St. Croix bridge spawned dozens of environmental improvements https://t.co/Q2GPR09ai4
America’s 8-Step Program for Opioid Addiction https://t.co/xdhe8dCbKo
Thanks to @MNPipeTrades for a great roomful of union pipe fitter volunteers today. All there at 7 am to go out and… https://t.co/mTKwFcGY2S
"Thanks to @RHamilton542 for your support for stopping 800,000 #DACA kids from being deported &amp; for looking out for… https://t.co/cgN8TVRBFo"
"Get well soon, Julia. I know you're a fighter. https://t.co/ddOcyPoqjM"
"Whether moving people or cargo, air travel is important to keep America moving. That's why @MSPAirport is such a cr… https://t.co/XYe9FKIEyJ"
Announced my bill w @RoyBlunt to give survivors of violence peace of mind that their addresses are confidential as… https://t.co/Y0mVhQnXQh
"We need tax reform for all, not one that cuts Trump family's taxes by $1.1 billion, gives 50% of benefits to top 1%… https://t.co/BI0MhjPgqK"
Expanding broadband is vital -- especially in rural areas where broadband can improve telehealth services &amp; healthc… https://t.co/A5kv3ef4pZ
"RT @JerryMoran: Intro'd bipartisan #StartupAct w/ @MarkWarner, @RoyBlunt &amp; @amyklobuchar to encourage innovation and help startups grow &amp; t…"
Was great to talk w @3M and others about importance of investing in infrastructure so it works for people today &amp; w… https://t.co/LycV2NMIUl
The Rahmes did everything they could to bring their son home. I was happy to help &amp; nominate them as #AdoptionAngels https://t.co/7Jf5wL3aB8
!!!!!  Twins clinch AL wild card https://t.co/d9Mjxq76AT
"Great win last night, @minnesotalynx! Another wild game! Love these #WNBAFinals. https://t.co/9brxh3z54z"
"P.R. is still largely w/o power, clean water access, food &amp; supplies. We need to help. https://t.co/edWJgAFGSg"
Breaking: Graham/Cassidy bill pulled. Now there is an opening for bipartisan agreement to be reached to fix ACA. Let's get it done.
"ICYMI: Here's the video of my town hall/debate w/ @SenSanders, Graham &amp; Cassidy. https://t.co/nWsMYSOqe8"
"Just left stage after CNN town hall on healthcare. #GrahamCassidy would take us back. To move forward, must work on bipartisan solutions."
Time to bring back bipartisan talks on healthcare. Only way to get a bill that helps all Americans is by working to… https://t.co/fsNKsbAfKs
Here's a good deep dive on @SenJohnMcCain's decision on Friday to come out against #GrahamCassidy: https://t.co/WemkMSo4z9
"It'll be a tough game without Bradford, but I've got faith in our @vikings. Get well soon, Sam. Let's go Vikes! #skol"
"Happy fall! Here’s a guide of where to spot the leaves changing this weekend. 🍂
https://t.co/0g0FdEwqAG"
Introduced bill to extend education savings accounts to more vocational programs. Would help workers afford the skills training they need.
"When scams come via phone/internet, calls for help shouldn't get caught in red tape. My bill makes reporting easier. https://t.co/FLbOtI2MvB"
Russians tried to hack into voter reg systems in 21 states -- incl. MN. I intro'd bill to protect these systems. https://t.co/GrlnxrzgCv
Duck hunting season starts tomorrow. Here's a good rundown of hunting dates and regulations. Good luck out there! https://t.co/uQJoYOcA96
"There are nearly 100,000 Minnesotans of Finnish descent. No wonder President @niinisto is visiting #FinnFest! 🇺🇸🇫🇮
https://t.co/y3G9BiQzcz"
Want to see Target Field get ready for some football? See how they're prepping for the 87th Tommies-Johnnies game: https://t.co/yDfcwrvoMG
My thoughts are with rescuers &amp; people trapped under the debris of a Mexico City school following this week's quake: https://t.co/zQp8ZSbVaN
"Bipartisan work to fix ACA again stymied by partisan efforts to repeal. Lincoln said ""public sentiment is everything"" Make your voices heard"
Shana tova! To all celebrating Rosh Hashanah tonight have a happy new year!
Maria is a record-breaking storm that's made landfall on PR &amp; the VI. Minnesota stands w our fellow Americans as th… https://t.co/tcWil1R92a
"#GrahamCassidy would mean chaos in health insurance markets, deep Medicaid cuts &amp; millions without coverage: https://t.co/toGK0iSj3T"
I'm a big fan of College Possible! Congrats: Ex Microsoft CEO donates $20 mil to St.Paul nonprofit College Possible https://t.co/Qw8POeO5Rb
Much needed: New apartment complex for homeless veterans to open at Fort Snelling https://t.co/zlBv5uxtnV via @pioneerpress
"As I said in speech, certain states hit hard by latest Trumpcare bill &amp; MN is 1 of them. Ohio Repub Gov came out against it for same reason"
We shouldn't pass a bill to reorganize 1/6 of US economy w/o knowing the impacts #GrahamCassidy would have. Let the… https://t.co/OxX2WZ3kgl
Why deal w/actual facts when it is easier to hide them? White House rejects study showing refugees bring in revenue https://t.co/2Ia2KffWFm
"Minnesota FTW! Delano, MN artist Bob Hautman's art will appear on the annual Duck Stamp for the 3rd time! 🦆  https://t.co/HdTYNEXwLZ"
Good news that fed govt will stop using Kaspersky Lab software. Now we must ensure state election cybersecurity software is secure.
"If #GrahamCassidy passes, would cut Medicaid and risk healthcare for thousands in MN. Need bipartisan fix instead.
https://t.co/ekJEeJBK2y"
Let's go @Vikings! Beat the Steelers and make it 2-0! #SKOL
Had a great time @HRC Twin Cities Dinner. It's important to protect &amp; defend rights of LGBT Americans …and celebrate progress we've made!
Let's go Gophers! Beat Middle Tennessee and keep that undefeated record golden! #SkiUMah
"I'm fighting to #ProtectOurCare for those w pre-existing conditions, for MN families who rely on Medicaid, for mill… https://t.co/aOHQJMYwNb"
"My thoughts are with the people of London, the victims, and their loved ones."
"Great story--MN helping Houston! 36 hours on road, 44 hours at stove: Cook St. Paul cooked for Houston firefighter… https://t.co/ryCT77lDUp"
Congrats to the Lynx on playoff victory agst Mystics! Whalen goes 'vintage Lindsay' at Barn to lead Lynx to victory https://t.co/lN45qIMUu6
Talked this week with rare disease advocates &amp; patients about importance of research &amp; keeping patients involved in new treatment process.
Spoke w @NCADV &amp; advocates abt preventing domestic violence/supporting survivors. It's what I did as county atty &amp;… https://t.co/4vzTAmPwO4
My bill w @JohnCornyn to combat human trafficking has passed the Senate. We need to support survivors &amp; improve tools for law enforcement.
Thanks to @MNFarmBureau for the visit https://t.co/fE4ftKPbNf
Russia attempted to interfere in '16 election. My amendment w @LindseyGrahamSC aims to protect 2018 &amp; beyond. https://t.co/u8ivOtE6Sh
"Saddened by the death of Pete Domenici, my fmr Senate colleague. He &amp; MN's Paul Wellstone did so much for mental healthcare in the US."
.@SenWhitehouse &amp;I sent letter to so-called election integrity commission demanding answers.  Need to increase # of… https://t.co/ZP5NADCBtz
Thanks to Gov @TerryMcAuliffe for speaking at our rural summit. 100s here from all over country including… https://t.co/zd4IdfRH2Q
RT @martinmatishak: .@amyklobuchar to @DHSgov : Is Kaspersky protecting U.S. elections? https://t.co/EuNUKaqlXO #elections #cybersecurity o…
Saw excerpts of new Burns/Novak film Vietnam War. Incredibly moving. On PBS Sunday. Thnx @KenBurns @SenJohnMcCain @JohnKerry for talk after
. @Vikings Great game &amp; strong start for Bradford! Vikings dig long ball in resounding 29-19 win over Saints https://t.co/seaE0Xpnnh win/
U.N. agrees to toughest-ever sanctions against North Korea https://t.co/UmT4Y2uWe6
#DACA renewals due October 5th!  Thanks for the correction @benwikler Renew Your DACA | USCIS https://t.co/SdbMMnhQnL
"Irma Live Updates: Storm Pushes North, but Millions Are Without Power in Florida  https://t.co/embSrHsb6k"
"We'll keep fighting to #DefendDACA, but if your status expires before 3/5/18 you need to apply to renew by 10/15/17. https://t.co/SdbMMnhQnL"
