Great to see Arkansans with RLI Services in Fort Smith today. Thanks for stopping by! 
I introduced legislation today to give hardworking Americans relief from the Obamacare mandate. MORE - 
The @FBI is clear: They need #FISA Section #702 to keep us safe. 
WATCH the Intel Committee hearing on the nomination of Christopher Sharpley to be Inspector General of the CIA: 
I talked with @hughhewitt this morning about Iran and Senate confirmations. LISTEN: 
"ICYMI – I joined @Kilmeade this morning on @foxandfriends to discuss Iran, healthcare, and tax reform. WATCH: "
I introduced legislation today to give hardworking Americans relief from the Obamacare mandate. MORE: 
Joining @hughhewitt shortly. Tune in!
Joining @foxandfriends shortly. Tune in!
"Good to see the Senate honor 11 African American soldiers, including Arkansan Due Turner, who died during the Battle of the Bulge in WWII."
Thanks to all who took part in the Annual Tri-State Veterans Service Officers Conference in Memphis this week. 
I joined the rest of the AR delegation in expressing support for the 1115 Waiver Request for Obamacare relief: 
"In choosing not to certify the Iran deal, President Trump made the right decision. "
Happy #242NavyBday! I appreciate the service past and present of all our nation’s Sailors. @USNavy
My office recently took part in the Central AR Veterans Health System Management Retreat to discuss how to better c… 
My statement on the Cotton-Corker legislative strategy to address flaws in Iran Nuclear Deal: 
The United States’s withdrawal from UNESCO is long overdue. 
Great turnout for the Fort Smith Chamber of Commerce annual meeting this week! 
The United States’s withdrawal from UNESCO is long overdue. 
"Agriculture is a way of life in Arkansas and I’m grateful for all our farmers across nearly 50,000 farms. #ThankAFarmer"
A big congrats to @uamshealth! 
I joined the rest of the AR delegation in expressing support for the 1115 Waiver Request for Obamacare relief: 
"I joined @RobyBrock on @TBArkansas to discuss Las Vegas, tax reform, Iran, and more. WATCH: "
My statement on the Trump administration’s immigration principles: 
Joining @RobyBrock on @TBArkansas shortly. Tune in! 
Airman Kenny Rivera Rojas represents the best of Arkansas by selflessly serving those affected by Hurricane Maria. 
My statement on the potential sale of THAAD system to Saudi Arabia: 
I sent a letter to AG Sessions today urging transparency in court for victims of Iranian terrorism: 
Great to see Arkansas bankers from around the state today. Thanks for your time. 
I introduced the VALOR Act today to increase access to apprenticeship-training programs for our veterans: 
Great turnout for the War Eagle Bridge rehabilitation opening. Congratulations! 
Great to see R.D. James nominated as Assistant Secretary of the Army for Civil Works. He brings a wealth of experience and knowledge.
ICYMI - I joined @postlive for #SecuringTomorrow with David Ignatius this morning. WATCH: 
""
I appreciate Pastor David Poe and his wife Nancy from Greene County for stopping by today. 
WATCH my speech on Iran at @CFR_org in full: 
WATCH my speech on Iran at @CFR_org LIVE: 
My statement on the expulsion of Cuban diplomats from U.S. soil: 
ICYMI – I talked with Kevin Miller on @newsradio1029 this morning. LISTEN: 
This morning I joined @HughHewitt to discuss the Las Vegas shooting. LISTEN: 
WATCH the @SASCmajority hearing on the Political and Security Situation in Afghanistan live: 
""
Joining @newsradio1029 shortly. Tune in!
Joining @hughhewitt shortly. Tune in!
Deeply saddened by the tragic and senseless shooting in Las Vegas. My thoughts and prayers are with all victims and their families.
It's game time. Cheering on the @ArkRazorbacks! Beat New Mexico State! #WPS
"To those observing Yom Kippur, have an easy and meaningful fast. G'mar chatimah tova!"
My statement on news that the State Department is withdrawing additional personnel from the U.S. embassy in Cuba:… 
Study says CFPB’s reckless rule may force credit card interest rates to rise. Congress needs to overturn this rule. 
Great news for Benton County! 
Thanks to Arkansas representatives from Novo Nordisk for stopping by today. 
Great to see Paul and David from the Retired Teachers Association today. 
"Michael, Nelson, and Tim visited my office to discuss Head Start and early childhood development today. "
Thanks to Sen. Rapert and Mike Nielsen with the National Conference of Insurance Legislators for talking about insu… 
"Congratulations to Col. Robert Kinney on a successful change of command, and thanks to Col. Doorenbos for your serv… "
Thanks to all who participated in the recent VA Townhall in Texarkana. 
Great dedication of the Robert Layes Pavilion at the Robert Jack VFW in Van Buren. Congratulations! 
The health insurance tax is another example of how Obamacare harms working Americans. More: 
I appreciate Kevin from Arkansas for talking with me about adult education today. 
Arkansans with the Boys and Girls Club of America came by today to discuss the importance of youth mentoring. 
Thanks to Nancy and Marc Oudin with the Professional Bail Agents of the US for talking with me today. 
Thanks to Lance Arbuckle from Rogers (and principal of the year!) for discussing education with me today. 
Proud to support the Healthcare Tax Relief Act which provides relief to working Arkansans from Obamacare. 
WATCH my Q&amp;A with General Dunford at today’s @SASCmajority hearing: 
My deepest condolences to the family and friends of AR Guardsmen Rufus Brown and Justin Ashley. Their service will not be forgotten.
"Today, AG Sessions offered a strong defense of why universities ought to challenge students, not shelter them. READ: "
I joined @newsradio1029 this morning. LISTEN: 
LISTEN to my interview with @HughHewitt about the RAISE Act and North Korea: 
Joining @newsradio1029 shortly. Tune in!
Joining @hughhewitt shortly. Tune in!
My statement on the 60th anniversary of the Little Rock Nine: 
Don't miss this week's newsletter! Sign up here: 
"I want to wish all those celebrating Rosh Hashanah a happy, healthy, and sweet new year!  Shanah tovah!"
ICYMI – I joined @newsradio1029 yesterday to discuss immigration. LISTEN: 
We owe it to our troops to get them the support they need. My statement on Senate passage of the NDAA:… 
WATCH my Q&amp;A at the @SASCMajority hearing on recent US Navy incidents at sea: 
"For 70 years, the men and women of the CIA have put themselves in harm's way to protect our country: "
The CFPB's rule on arbitration ignores the consumer benefits and treats Arkansans like helpless children: 
I joined @chucktodd on @MeetThePress on Sunday to discuss DACA. WATCH: 
WATCH my Q&amp;A at the @SASCmajority hearing on recent US Navy incidents at sea: 
We owe it to our troops to get them the support they need. My statement on Senate passage of the NDAA:… 
ICYMI – I joined @newsradio1029 this morning to discuss immigration. LISTEN: 
Joining @newsradio1029 shortly. Tune in!
WATCH my remarks live at the @Hillsdale College Constitution Day Celebration: 
We owe it to our troops to get them the support they need. My statement on Senate passage of the NDAA:… 
Senate Dems had a chance to support our troops and repeal sequester. Instead they hid. WATCH: 
WATCH my interview with @hughhewitt on @MSNBC 
I joined @chucktodd on @MeetThePress yesterday to discuss DACA. WATCH: 
WATCH my interview with @hughhewitt on @MSNBC yesterday: 
I joined @chucktodd on @MeetThePress this morning to discuss DACA. WATCH: 
Joining @MeetThePress shortly. Tune in!
Joining @hughhewitt on @MSNBC shortly. Tune in! 
Huvepharma in Van Buren recently achieved the 25 Years Accumulative Safety Award. Great work! 
My statement on the Trump administration’s support for reauthorization of FISA Section 702: 
Thanks to Nice-Pak in Jonesboro for hosting a great “Made in America” event recently. 
I joined @marcorubio in urging the State Department to maintain additional security-assistance funding for Israel: 
Congratulations to Overton Brooks VA Medical Center on a successful ribbon cutting for your new parking garage to h… 
Secretary Tillerson should expel Cubans in the US and close our embassy in Cuba over attacks on our diplomats: 
Great news for Arkansas! 
Thanks to Arkansas members of the Susan G. Komen Foundation and American Heart Association for stopping by to share… 
Thanks to Jax for traveling all the way from Arkansas to see me today. 
READ: 'Repeal the Budget Control Act' via @WSJ 
READ: 'Abolish the Sequester' via @weeklystandard 
""
""
Thanks to Mike and Kevin with the Arkansas Farmers Union for meeting with me today. 
Kathy and LaShannon with Community Health Centers of Arkansas stopped by to discuss healthcare today. Great to talk… 
Great to see Arkansans with the Automobile Dealers Association today. Thanks for your time! 
"I joined @newsradio1029 yesterday to discuss relief funding, the National Defense Authorization Act, and more. LIST… "
My statement on the Trump administration’s support for reauthorization of FISA Section 702: 
I joined @marcorubio in urging the State Department to maintain additional security-assistance funding for Israel: 
Thanks to Dr. Dinehart from Little Rock with the Dermatology Association for your time today. 
Thanks to Arkansans with the American Cancer Society for talking with me about cancer research today. 
Thanks to Karl with the American College of Cardiology for discussing cardiac rehabilitation today. 
"Great to meet with Denise, Jim, and Matt with the Retired Senior Volunteer Program today. "
I joined @marcorubio in urging the State Department to maintain additional security-assistance funding for Israel: 
My statement on the Trump administration’s support for reauthorization of FISA Section 702: 
"I joined @newsradio1029 today to discuss relief funding, the National Defense Authorization Act, and more. LISTEN: "
Joining @newsradio1029. Tune in!
My statement on the Trump administration’s support for reauthorization of FISA Section 702: 
""
September 11 is the day we’ll never forget. 
It’s good to see Arkansas veteran and Pearl Harbor hero Joe George receive the recognition he deserves: 
Any legislation to codify DACA must be paired with reform of the green-card system that protects American workers. 
It’s almost game time! Cheering on the @ArkRazorbacks this afternoon. #BeatTCU #WPS
Congratulations to Memorial Field in Hot Springs on receiving a DOT grant to improve infrastructure. 
I honored Hurricane Harvey heroes on the Senate floor this week. WATCH: 
Don’t miss this week’s newsletter! Sign up here: 
